ITEMNAME,sales_channel,unit_weight
ROCKCUT 756   55G DRUM,NON-DISTRIBUTION,423.04156
PERDRAW 2524      55GL DRUM,NON-DISTRIBUTION,459
6035-100 - DIESTER HP-BA COMP LUBE   1GL 4X1 CASE BLK,NON-DISTRIBUTION,30
PERKUT 304-NC     BULK GALLONS,NON-DISTRIBUTION,6.96465
FLOCULITE 551       18.9L/5G,NON-DISTRIBUTION,42
PERKLEEN 1333-CL-2      1GL JUG,NON-DISTRIBUTION,9
PERDRAW 3564      1249L/330G,NON-DISTRIBUTION,2487
PERKOTE 30-268      55GL DRUM,NON-DISTRIBUTION,370
PHOS DIP STARTER 1     18.9L/5G,NON-DISTRIBUTION,44
ISOGARD       208L/55G,NON-DISTRIBUTION,519
TPG     120LB 1/4 DRUM,NON-DISTRIBUTION,120
TECHNICOAT ZNBL 360 C     55G DRUM,NON-DISTRIBUTION,592
PARTHERM 275     50 LB   BAG,NON-DISTRIBUTION,50
PERCHEM 1650-NN       208L/55G DRUM,NON-DISTRIBUTION,477
4584-32 - SYN FR FG HYDR FLUID   16OZ 12X1 CASE FC,NON-DISTRIBUTION,10.7
6064-100 - ADV FG AIR COMP LUBE   16OZ 12X1 CASE FC,NON-DISTRIBUTION,11.2
LOW TEMP DRAW SALT WHITE W/O  25LB  BAG,NON-DISTRIBUTION,25
SP-775 HIGH TEMPERATURE CHAIN LUBE     350 Gal Tote,NON-DISTRIBUTION,2774
PERKOOL 9417      55GL DRUM,NON-DISTRIBUTION,415
TECHNILLOY ZN NI 7222     55G DRUM,NON-DISTRIBUTION,723
TECHNIBRITE NI 845     5G PAIL,NON-DISTRIBUTION,42.5
Q-STRIP 100     200 LB   FDR,NON-DISTRIBUTION,200
PERKOOL 4110-V-NC     1249L/330G TOTE,NON-DISTRIBUTION,2772
GX PROOF 5025      5GLPL,NON-DISTRIBUTION,44
ACCUVIS 68      250G TOTE,NON-DISTRIBUTION,1833
LAB OIL 100     1249L/330G,NON-DISTRIBUTION,2527
TECHNICOAT ZN BK PART B     55G DRUM,NON-DISTRIBUTION,459
SCALE KLEEN 12     500 LB   MDR,NON-DISTRIBUTION,500
2058-46 - SYN VAC-PUMP FLUID   55GL DRUM BLK,NON-DISTRIBUTION,397
PERLUBE EP-1 (AL)     35LB PAIL,NON-DISTRIBUTION,35
ACCUDRAW 675 (ANOMATIC)  330GL STL TOTE,NON-DISTRIBUTION,2412
ANTI-FOAM FOR SOLUBLE OIL   1Q BOTTLE,NON-DISTRIBUTION,2.2199999999999998
TECHNICOAT TRIBLACK 1100 A     5G PAIL,NON-DISTRIBUTION,55
SCALE KLEEN 5     500 LB   MDR,NON-DISTRIBUTION,500
BLUE COOL S2685C     DRUM,NON-DISTRIBUTION,463
ACCUGRIND 90      55GL DRUM,NON-DISTRIBUTION,398
VISCOR CAL FL MIL-PRF-7024G TYPE II   55G/208L DRUM,NON-DISTRIBUTION,383.5816249999999
2032-220 - SYN EP GEAR LUBE   1GL 4X1 CASE BLK,NON-DISTRIBUTION,30
PERLUBE S-10      55GL DRUM,NON-DISTRIBUTION,389
WAYLUBE 220     330G TOTE,NON-DISTRIBUTION,2400
ISO-32 WAY LUBE     55G DRUM,NON-DISTRIBUTION,397
ROCKDRILL 100 PARAFFINIC   55G DRUM,NON-DISTRIBUTION,438.172
2090-46 - FG WHITE OIL   275GL TOTE,NON-DISTRIBUTION,1985
SPINDLE OIL 2   5G/19L PAIL TH,NON-DISTRIBUTION,34
MULTI-TERJ CR-2213      18.9L/5G,NON-DISTRIBUTION,43
ACCUCUT 517 LV      55G DRUM,NON-DISTRIBUTION,396
LIQUID CYCLE       208L/55G,NON-DISTRIBUTION,527
MILPRO 830CF     55G / 208L PINK STEEL DRUM,NON-DISTRIBUTION,400
CIMTECH 500     275G / 1041L TOTE,NON-DISTRIBUTION,2426
CX-9006     55G / 208L PINK STEEL DRUM,NON-DISTRIBUTION,469
6321-46 - OEM PAGR AIR COMP LUBE [BL]   1GL 4X1 CASE BLK,NON-DISTRIBUTION,29.600000000000005
RUMPKE PRESOAK CC-LF     BULK GALLONS,NON-DISTRIBUTION,8.810500000000003
CIMSTAR 60LF     5G / 19L PINK PLASTIC PAIL,NON-DISTRIBUTION,43
ROCKCUT 710   275G/1040L TOTE,NON-DISTRIBUTION,2122.5754
PL-230   55G DRUM,NON-DISTRIBUTION,400.0584416666666
VISCOR CALIBRATION FLUID 1487   5G/19L PAIL TH,NON-DISTRIBUTION,34.199999999999996
DISHEEN MACHINE LIQUID      4x3.78L/1G,NON-DISTRIBUTION,40
211      226.8 KG / 500 LB,NON-DISTRIBUTION,500
5134-40 - CALDERA 16-HT - HTS & CLN   55GL DRUM,NON-DISTRIBUTION,404
LO-PHENYL SILICONE 1000 CST   5G PAIL,NON-DISTRIBUTION,5
2046-22 - SYN HONING OIL   5GL PAIL BLK,NON-DISTRIBUTION,35
PERLUBE AW-150      5GLPL,NON-DISTRIBUTION,38
PERCHEM 1140-DO     BULK GALLONS,NON-DISTRIBUTION,6.6137375
PERLUBE RO-100      1249L/330G TOTE,NON-DISTRIBUTION,2430
PEARL-Z 3252D      208L/55G,NON-DISTRIBUTION,460
PERKOOL 5440      5GLPL,NON-DISTRIBUTION,41
KOOL TERJ       500 LB   MDR,NON-DISTRIBUTION,500
PERKOTE 30-305     1249L/330G TOTE,NON-DISTRIBUTION,2324
STERILEX ULTRA DISINFECTANT CLEANER SOLUTION 1     208L/55G,NON-DISTRIBUTION,460
GX PROOF 6151Y      55G DRUM,NON-DISTRIBUTION,476
CIMCLEAN OAK KLEEN 322     55G / 208L PINK STEEL DRUM,NON-DISTRIBUTION,348
DEPRESS PLUS       208L/55G,NON-DISTRIBUTION,380
PERKUT 338      55GL DRUM,NON-DISTRIBUTION,437
2217-68 - SEMI-SYN TURBINE FLUID   1GL 4X1 CASE BLK,NON-DISTRIBUTION,29
CIMPULSE 58MP     275G / 1041L TOTE,NON-DISTRIBUTION,2368
MITFLOC 5831L      DRUM,NON-DISTRIBUTION,629
6385-68 - FG BARRIER FLUID   5GL PAIL GRN,NON-DISTRIBUTION,36
2274-220 - SYN FG HT CHAIN LUBE + CLN   55GL DRUM GRN,NON-DISTRIBUTION,399
GF ADJUST 478         55G DRUM,NON-DISTRIBUTION,491
DUSQUEEZE       18.9L/5G,NON-DISTRIBUTION,41
EVERSTAY MOLY XD-2 GREASE     10XELECTRO-LUBERS,NON-DISTRIBUTION,10
6245-100 - PARTIAL-SYN VAC-PUMP LUBE   5GL PAIL BLK,NON-DISTRIBUTION,36
MILPRO WAY 68     5G / 19L BLACK PLASTIC PAIL (NET),NON-DISTRIBUTION,38
LIQUID MC726     1249L/330G,NON-DISTRIBUTION,3633
CHEM ALUM DEOX 560     1249L/330G,NON-DISTRIBUTION,3814
GX DRAW 7390      330G TOTE,NON-DISTRIBUTION,3107
APOLLO 46 FRH     55G DRUM,NON-DISTRIBUTION,422
CIMTECH 100     5G / 19L PINK PLASTIC PAIL,NON-DISTRIBUTION,44
OXYQUEST 1040I     5GL PAIL,NON-DISTRIBUTION,53
4004-100 - NXT MIN - PREM RC OIL   5GL PAIL BLK,NON-DISTRIBUTION,36
PERDRAW 3875      55GL DRUM,NON-DISTRIBUTION,447
BLUE STAR OGB 8700/1700     LINED DRUM w/center bung (30),NON-DISTRIBUTION,400
TECHNIBRITE MA-7-41     55G DRUM,NON-DISTRIBUTION,490
GX CLEAN 5180      5GLPL,NON-DISTRIBUTION,42
50 QUENCH OIL     18.9L/5G,NON-DISTRIBUTION,35.88
BLUE COOL S2420     TOTE,NON-DISTRIBUTION,2737
PERKLEEN 1318      55G DRUM,NON-DISTRIBUTION,519
PERKUT 194-G     55GL DRUM,NON-DISTRIBUTION,406
2755-12 - NXT APL-LT - SYN OIL   1GL 4X1 CASE BLK,NON-DISTRIBUTION,28
PERDRAW 9947      55GL DRUM,NON-DISTRIBUTION,486
ISO-46 R&O OIL     55G DRUM,NON-DISTRIBUTION,397
CIMGUARD OAK PROTECT 2405HF     5G / 19L WHITE PLASTIC PAIL,NON-DISTRIBUTION,33
PERKOOL 9934       5GLPL,NON-DISTRIBUTION,41
GCO-10       114L/30G,NON-DISTRIBUTION,260
PERKOOL 767      55GL DRUM,NON-DISTRIBUTION,479
PERKOOL 714      330GL PL TOTE,NON-DISTRIBUTION,2871
SO CLEAN IMPERIAL BRIGHTENER     18.9L/5G PAIL,NON-DISTRIBUTION,42.93
HTG-2 (PL)      15.9 KG / 35 LB,NON-DISTRIBUTION,35
PERKOTE 10-437      55GL DRUM,NON-DISTRIBUTION,492
PROMEX CMT1.5     30-GAL DRUM,NON-DISTRIBUTION,257
4465B BLANK WASH   5G/19L PAIL,NON-DISTRIBUTION,43.217631486008734
6045-46 - SEMI-SYN 4000HR COMP LUBE [BL]   1GL 4X1 CASE BLK,NON-DISTRIBUTION,29
USL-775 HIGH TEMP SYN CHAIN LUBE     330G TOTE,NON-DISTRIBUTION,2614.7900000000004
VISFORM 5000   5G PAIL,NON-DISTRIBUTION,36.5
PERLUBE RO-46      55GL DRUM,NON-DISTRIBUTION,400
GX CLEAN 5704 NT     208L/55G DRUM,NON-DISTRIBUTION,473
PHOS DIP P-7-A     60 LB PAIL,NON-DISTRIBUTION,60
PERKUT 287-HO      55GL DRUM,NON-DISTRIBUTION,401
GF ACID CLEAN 147SL      330G TOTE,NON-DISTRIBUTION,2884
GF DEFOAM 308       5GLPL,NON-DISTRIBUTION,34.20000000000002
BLUE STAR W 5300/68     55G  DRUM,NON-DISTRIBUTION,403
ZEO KLEEN      18.9L/5G,NON-DISTRIBUTION,46
SUNEX HYDRAULIC LUBE 351   5G PAIL TH,NON-DISTRIBUTION,38.5
SYNTHETIC GEAR & BEARING FLUID ISO 1500,NON-DISTRIBUTION,406
USL-600 HIGH TEMP SYN CHAIN LUBE     330G TOTE,NON-DISTRIBUTION,2675
MITFLOC 5376L      DRUM,NON-DISTRIBUTION,523
TWIST      208L/55G,NON-DISTRIBUTION,459
DUSTRYPP NA      208L/55G,NON-DISTRIBUTION,589
PHOS DIP 52AJ     201L/53G,NON-DISTRIBUTION,700
ROCKCUT 262 CA   330G TOTE,NON-DISTRIBUTION,2504.8192302083335
PERLUBE WL-32-D     55GL DRUM,NON-DISTRIBUTION,412
TREO SW-61       1249L/330G,NON-DISTRIBUTION,2925
6288-32 - SILICONE DIFF-PUMP FLUID   1GL 4X1 CASE BLK,NON-DISTRIBUTION,32
THERMO-QUENCH WHITE W/O     50 LB   BAG,NON-DISTRIBUTION,50
2174-220 - SYN FG HT CHAIN LUBE   5GL PAIL GRN,NON-DISTRIBUTION,36
BLUE STAR S 6150/46     275GL TOTE,NON-DISTRIBUTION,1980
C-PHOS 50M-LN     208L/55G DRUM,NON-DISTRIBUTION,700
VISCOOL 6425   275G/1040L TOTE,NON-DISTRIBUTION,2277
UNI KLEEN 1554     400 LB   FDR,NON-DISTRIBUTION,400
PERDRAW 2590      55GL DRUM,NON-DISTRIBUTION,592
THERMO-QUENCH OIL     1249L/330G,NON-DISTRIBUTION,2475
2285-320 - SYN FG HT CHAIN LUBE   1GL 4X1 CASE BLK,NON-DISTRIBUTION,29
SB-852   55G DRUM,NON-DISTRIBUTION,390.17100271428575
DRYLUBE POLYDIP     208L/55G,NON-DISTRIBUTION,463
PERDRAW 3561-R     208L/55G,NON-DISTRIBUTION,469
MULTI-KLEEN 1573     193L/51G,NON-DISTRIBUTION,450
PERKOOL 707-B      5GLPL,NON-DISTRIBUTION,44
ASSURANCE 6235     1041L/275G TOTE,NON-DISTRIBUTION,2392
PRI-COOL 988      55GL DRUM,NON-DISTRIBUTION,478
DS-2      1/2 DRUM,NON-DISTRIBUTION,263
FCR OF 530 STAMP FLUID-ACCURATE   BULK (GAL),NON-DISTRIBUTION,7.1899375
GX PROOF 7525      55G DRUM,NON-DISTRIBUTION,371
SNFG 68 RED    55G DRUM,NON-DISTRIBUTION,389
DEOXIDIZER REPLENISHER 616     55G DRUM,NON-DISTRIBUTION,502
6531-150 - SYN GEAR & BEARING FLUID   1GL 4X1 CASE BLK,NON-DISTRIBUTION,29
2284-46 - BIO HYDR FLUID   5GL PAIL BL,NON-DISTRIBUTION,36
GX DEFOAM 100      5GLPL,NON-DISTRIBUTION,43
2243-32 - MIN-OIL AW HYDR FLUID   1QT 12X1 CASE FS,NON-DISTRIBUTION,22
ACCUCOOL 3000 SS       250G TOTE,NON-DISTRIBUTION,2145
STRYPP ALL      208L/55G,NON-DISTRIBUTION,468
DIACOOL SYN-59     55G / 208L BLACK STEEL DRUM,NON-DISTRIBUTION,482
6065-100 - FG AIR COMP CLN + LUBE   1GL 4X1 CASE BLK,NON-DISTRIBUTION,28.8
6470 LIQUID CLEANER   275G TOTE,NON-DISTRIBUTION,3194.6446
2755-30 - NXT APL - SYN OIL   55GL DRUM,NON-DISTRIBUTION,392
2755-30 - NXT APL - SYN OIL   1GL 4X1 CASE,NON-DISTRIBUTION,29
PERKOOL 5444     18.9L/5G PAIL,NON-DISTRIBUTION,42
PEN DIP 300      18.9L/5G,NON-DISTRIBUTION,34
CIMSTAR 40B     275G / 1041L TOTE,NON-DISTRIBUTION,2426
6731-100 - SYN BLOWER LUBE   55GL DRUM BLK,NON-DISTRIBUTION,399
SECURE SEAL 8000      114L/30G,NON-DISTRIBUTION,261
ANTIFOAM 17     5G / 19L PINK PLASTIC PAIL,NON-DISTRIBUTION,41.3
PERDRAW 7308-50      55GL DRUM,NON-DISTRIBUTION,543
3150-EP2 - NXTGEL 3150 - FG PIPE GEL [GN]   5GL PAIL BLK,NON-DISTRIBUTION,39
PERCHEM DETERGENT ADDITIVE     5GLPL,NON-DISTRIBUTION,43
4073-32 - SYSTEM PERF ENHANCER [RD]   275GL TOTE,NON-DISTRIBUTION,2235
PERKUT 304-LF     1249L/330G TOTE,NON-DISTRIBUTION,2306
BRASS BRIGHT S (1/2 STRENGTH)     55G DRUM,NON-DISTRIBUTION,539
PERCHEM 2727      5GLPL,NON-DISTRIBUTION,37
330 QUENCH SALT NO DYE     50 LB   BAG,NON-DISTRIBUTION,50
BROMICIDE TABLETS     50-LB PAIL,NON-DISTRIBUTION,50
PERLUBE EP-460-GX      330GL PL TOTE,NON-DISTRIBUTION,2482
COAGULITE 2750     208L/55G DRUM,NON-DISTRIBUTION,515
GCO-10-VISIGARD       18.9L/5G,NON-DISTRIBUTION,44
POWERCLEAN 1908       55G DRUM,NON-DISTRIBUTION,477
290 BLACKENING SALT     400 LB   SHORT DRUM,NON-DISTRIBUTION,400
ASSURANCE 6240     1041L/275G TOTE,NON-DISTRIBUTION,2398
4425-32 - NXT POE - RC OIL   1QT 12X1 CASE MTL,NON-DISTRIBUTION,23
4225-32 - POE COMP LUBE   1GL 4X1 CASE MTL,NON-DISTRIBUTION,29
4425-32 - NXT POE - RC OIL   55GL DRUM BLK-M,NON-DISTRIBUTION,419
GF COIL CLEAN 224      18.9L/5G,NON-DISTRIBUTION,45
6863-68 - EXT-LIFE AIR COMP LUBE   1GL 4X1 CASE BLK,NON-DISTRIBUTION,30
PERLUBE AIRLINE OIL      1GL JUG,NON-DISTRIBUTION,8
ACCUDRAW 1919       5GLPL,NON-DISTRIBUTION,40
LC-6799     55G DRUM,NON-DISTRIBUTION,505
OAKFLO DSY 910     5G /  19L G&G PLASTIC PAIL,NON-DISTRIBUTION,44
ACCUCUT 1940     5G PAIL,NON-DISTRIBUTION,41
6063-100 - SYN FG VAC-PUMP FLUID   55GL DRUM BLK,NON-DISTRIBUTION,399
4432-320 - PAG GEAR FLUID   16OZ 12X1 CASE FC,NON-DISTRIBUTION,12.5
2499-40 - CALDERA 16-HD - HTF & CLN   55GL DRUM BLK,NON-DISTRIBUTION,418
6045-32 - SEMI-SYN 4000HR COMP LUBE [GN]   5GL PAIL BLK,NON-DISTRIBUTION,36
6531-100 - SYN GEAR & BEARING FLUID   55GL DRUM BLK,NON-DISTRIBUTION,399
MILFORM 6275     5G / 19L PINK PLASTIC PAIL,NON-DISTRIBUTION,44
RUST INHIBITOR XCR NF  208L/55G  DRUM,NON-DISTRIBUTION,481
6445-32 - SEMI-SYN PORTABLE COMP LUBE   55GL DRUM BLK,NON-DISTRIBUTION,393
ISO 22 HIGH TEMP CHAIN OIL     208L/55G DRUM,NON-DISTRIBUTION,424
DEPRESS MAX      17L/4.5G,NON-DISTRIBUTION,33
PUREGUARD SNFG 100 55G DRUM (ECOLAB LOT REQUIREMENT),NON-DISTRIBUTION,394
ACCUCUT 471B-OX      275G TOTE,NON-DISTRIBUTION,2225
CLG-2      181 KG / 400 LB   MDR *D,NON-DISTRIBUTION,400
GF STRIP 4420      208L/55G,NON-DISTRIBUTION,472
MILFORM 10-950V BLUE     55G / 208L BLUE PLASTIC DRUM,NON-DISTRIBUTION,476
PERASAN A     45# PAIL,NON-DISTRIBUTION,45
MILPRO WAY 220     5G / 19L BLACK PLASTIC PAIL,NON-DISTRIBUTION,39
MITFLOC 5360E      PAIL (21),NON-DISTRIBUTION,42
ACCUDRAW 2336      55G DRUM,NON-DISTRIBUTION,402
FR MOBILE 46   275G TOTE,NON-DISTRIBUTION,2327.6863333333336
PERKOOL 9407      5GLPL,NON-DISTRIBUTION,38
FLOCULITE 1124     1041L/275G,NON-DISTRIBUTION,2300
PERLUBE AW-32      325GL STL TOTE,NON-DISTRIBUTION,2357
CIMSTAR 60XL PINK     5G / 19L PINK PLASTIC PAIL,NON-DISTRIBUTION,44
BLUE FORM 4251     DRUM,NON-DISTRIBUTION,468
CIMPERIAL1070-HFP     55G / 208L PINK STEEL DRUM,NON-DISTRIBUTION,459
PERLUBE AW-68      325GL STL TOTE,NON-DISTRIBUTION,2383
PERKLEEN 1328-C       55G DRUM,NON-DISTRIBUTION,487
PERDRAW 1043      55GL DRUM,NON-DISTRIBUTION,367
TECHNICLEAN LSE 1500 C     55G DRUM,NON-DISTRIBUTION,643
PERLUBE EP-150-GX     55GL DRUM,NON-DISTRIBUTION,409
2082-150 - SYN FG GEAR LUBE   16OZ 12X1 CASE FC,NON-DISTRIBUTION,10.9
FORKLIFT EXCHANGE HEAVY DUTY CHAIN LUBE    CASE-12  (FLE004),NON-DISTRIBUTION,20
6863-46 - EXT-LIFE AIR COMP LUBE   55GL DRUM BL-M,NON-DISTRIBUTION,413
BULLET PROOF SERIES MELT     208L/55G DRUM,NON-DISTRIBUTION,510
MBR-3656     18.9L/5G PAIL,NON-DISTRIBUTION,50
PERCHEM PENETRATING OIL 40      55GL DRUM,NON-DISTRIBUTION,407
RUST PREVENTIVE 6004 Q      330G TOTE,NON-DISTRIBUTION,2214
CLEAN & SHEEN     208L/55G DRUM,NON-DISTRIBUTION,480
CIMTECH 310     275G / 1041L TOTE,NON-DISTRIBUTION,2472
SUNEX GEAR OIL 150 EP   55G DRUM,NON-DISTRIBUTION,409
ISO-68 AW SYN COMPRESSOR LUBRICANT     55G DRUM,NON-DISTRIBUTION,400
4825-80 - HYBRID/EV AC COMP LUBE   5GL PAIL BLK,NON-DISTRIBUTION,37
5134-40 - CALDERA 16-HT - HTS & CLN   275GL TOTE,NON-DISTRIBUTION,2019
6042-220 - RUN-CLEAN AIR COMP LUBE [UV]   55GL GN DRUM,NON-DISTRIBUTION,405
CW-961L      1/2 DRUM,NON-DISTRIBUTION,264
C-INHIBITOR 28C     55GL DRUM,NON-DISTRIBUTION,465
ISW-2088      208L/55G,NON-DISTRIBUTION,507
C-PHOS 50RA     275G TOTE (330G TOTE FILLED TO 275G),NON-DISTRIBUTION,3650
2032-320 - SYN EP GEAR LUBE   55GL DRUM BLK,NON-DISTRIBUTION,416
DURATEC WAND 300      18.9L/5G,NON-DISTRIBUTION,42
MILFORM OAK DRAW 785     5G / 19L PINK PLASTIC PAIL,NON-DISTRIBUTION,43
GF DEFOAM 308      15G DRUM,NON-DISTRIBUTION,103
SB-111 GEAR BOX FLUSH   5G PAIL,NON-DISTRIBUTION,39.3988
ASSURANCE 6330     1041L/275G TOTE,NON-DISTRIBUTION,2337
FCR OF TRO46AW-EATON SOUTH BEND   BULK (GAL),NON-DISTRIBUTION,7.2971375
ACCUDRI 220 ME     5GLPL,NON-DISTRIBUTION,34
ACCUCUT 121     BULK GALLONS,NON-DISTRIBUTION,7.236
LOW ODOR LUBE & PROTECT OIL     18.9L/5G PAIL,NON-DISTRIBUTION,36
MITFLOC 7687L      DRUM,NON-DISTRIBUTION,563
2082-100 - SYN FG GEAR LUBE   16OZ 12X1 CASE FC,NON-DISTRIBUTION,10.900000000000002
INHIBITOR 56     55G / 208L PINK STEEL DRUM,NON-DISTRIBUTION,493
LUBRICOOLANT 2025      208L/55G,NON-DISTRIBUTION,449
GX DRAW 7435      55G DRUM,NON-DISTRIBUTION,468
2243-10 - MIN-OIL AW HYDR FLUID   5GL PAIL BLK,NON-DISTRIBUTION,35
HUSKIE MULTI PURPOSE GEAR LUBE 80W90   5G PAIL,NON-DISTRIBUTION,39.0685
USL-1821 DRAWING LUBRICANT    18.9L/5GL PAIL,NON-DISTRIBUTION,44
VALRUST 1391 LOW ODOR   330G TOTE,NON-DISTRIBUTION,2503.2508
SPREX A.C. #6       181 KG / 400 LB,NON-DISTRIBUTION,400
EP GEAR LUBE S-320A   55G DRUM,NON-DISTRIBUTION,452.79314999999997
TECHNIBRITE ULTRA ZN 1     55G DRUM,NON-DISTRIBUTION,472
STA-HARD 17  400 LB DRUM,NON-DISTRIBUTION,400
CIMTAP II     CASE OF 12 1-PINT BOTTLES (NET),NON-DISTRIBUTION,13
TREO JEL D      208L/55G,NON-DISTRIBUTION,487
ROCKWAY 68   5G/19L PAIL,NON-DISTRIBUTION,43.1098
PERLUBE 8330      55GL DRUM,NON-DISTRIBUTION,405
GX COOL 2192-CM     55GL DRUM,NON-DISTRIBUTION,459.09090909090907
PERKLEEN 1275-H      55GL DRUM,NON-DISTRIBUTION,426
CHEM ALUM DEOX 61     208L/55G,NON-DISTRIBUTION,687
2058-100 - SYN VAC-PUMP FLUID   1GL 4X1 CASE BLK,NON-DISTRIBUTION,29
ACCUVIS 46     330G TOTE,NON-DISTRIBUTION,2386
PERKUT 282-HV     18.9L/5G PAIL,NON-DISTRIBUTION,39
PERLUBE WL-220      5GLPL,NON-DISTRIBUTION,38
6045-46 - SEMI-SYN 4000HR COMP LUBE   1GL 4X1 CASE BLK,NON-DISTRIBUTION,29
TROJAN 460   350G TOTE,NON-DISTRIBUTION,3124.9579000000003
PTO 46 AZ   55G/208L DRUM,NON-DISTRIBUTION,444.6564
MITFLOC 5122L      PAIL,NON-DISTRIBUTION,42
ALU-BRAZE 930     300 LB   FDR,NON-DISTRIBUTION,300
IPR-1000      18.9L/5G,NON-DISTRIBUTION,43
PERKOTE 30-248      55GL DRUM,NON-DISTRIBUTION,362
GF CLEAN 150SL     55G DRUM,NON-DISTRIBUTION,543
DURACOAT STAR BLACK C     18.9L/5G,NON-DISTRIBUTION,50
GF PREP 618     18.9L/5G PAIL,NON-DISTRIBUTION,46
ALUMINUM BRAZING SALT D     300 LB   FDR,NON-DISTRIBUTION,300
PERKUT 305-M       BULK GALLONS,NON-DISTRIBUTION,8.0592625
6019-150 - DIESTER AIR COMP LUBE [GN]   55GL DRUM BLK,NON-DISTRIBUTION,417
SB-224   55G DRUM,NON-DISTRIBUTION,386.3636363636364
6045-46 - SEMI-SYN 4000HR COMP LUBE   1QT 12X1 CASE FS,NON-DISTRIBUTION,22
GF ADD 464       55G DRUM,NON-DISTRIBUTION,471
BLUE STAR ATF III     55GL DRUM,NON-DISTRIBUTION,395
PERLUBE APG-80W90      5GLPL,NON-DISTRIBUTION,38
GF SEAL 320NCS     15G DRUM,NON-DISTRIBUTION,138
BLUE COOL Y2780B     PAIL (W/BLUE DYE),NON-DISTRIBUTION,44
CHEMPOL MB 4      55G DRUM,NON-DISTRIBUTION,461
6042-32 - RUN-CLEAN AIR COMP LUBE   5GL PAIL GRY,NON-DISTRIBUTION,36
2082-320 - SYN FG GEAR LUBE   55GL DRUM GRN,NON-DISTRIBUTION,402
2032-220 - SYN EP GEAR LUBE   5GL PAIL BLK,NON-DISTRIBUTION,38
TRANSIT-JEL       624L/165G,NON-DISTRIBUTION,1456
SUPER LOOB      18.9L/5G,NON-DISTRIBUTION,43
ACCUVIS 150      55G DRUM,NON-DISTRIBUTION,403
PEARL-Z 3421D       18.9L/5G,NON-DISTRIBUTION,41
BLUE STAR XP 9900/460-1     3500 LB RET TOTE,NON-DISTRIBUTION,3500
BLUE STAR XP 9900/460-1     400 LB O/H DRUM  (LINED),NON-DISTRIBUTION,400
MICRO-90     20 LITER,NON-DISTRIBUTION,47
GX DRAW 7119      208L/55G  PDR,NON-DISTRIBUTION,349
GF ADD 2135      18.9L/5G,NON-DISTRIBUTION,46
GF ADD 2135      208L/55G,NON-DISTRIBUTION,505
LIQUID 433     1249L/330G TOTE,NON-DISTRIBUTION,3140
FCR OF RC222LTP-ANCHOR CO   BULK (GAL),NON-DISTRIBUTION,7.1313125
4056-46 - PAG AC COMP LUBE-R1234YF+R134A   55GL DRUM BLK,NON-DISTRIBUTION,410
PROGRIND 650   BULK (GAL),NON-DISTRIBUTION,7.3122125
MONITROL 2302     280LB 1/2 DRUM,NON-DISTRIBUTION,280
CHEVRON REGAL R&O 46,NON-DISTRIBUTION,453.5099999999999
C-LUBE EX4M     40#  PAIL,NON-DISTRIBUTION,42
PERLUBE EP-460     55GL DRUM,NON-DISTRIBUTION,414
ACID INHIBITOR SL     208L/55G,NON-DISTRIBUTION,470
CIMCLEAN PRODUCTO SP-217     55G / 208L WHITE PLASTIC DRUM,NON-DISTRIBUTION,469
COAGULITE 300      277 KG / 610 LB,NON-DISTRIBUTION,610
2585-68 FRHF   55G DRUM  (FM APPROVED LABEL),NON-DISTRIBUTION,423
2288-68 - FG BIO HYDR FLUID   1GL 4X1 CASE BLK,NON-DISTRIBUTION,29
EVERSTAY 100 GREASE 35LB PAIL,NON-DISTRIBUTION,35
DIACOOL SYN-59     5G / 19L WHITE PLASTIC PAIL,NON-DISTRIBUTION,44
GX DRAW 7119     330G TOTE,NON-DISTRIBUTION,2093
4425-320 - NXT POE - RC OIL   1GL 4X1 CASE BLK,NON-DISTRIBUTION,31
FCR OF TRO46AW-QUANTUM PLASTICS   BULK (GAL),NON-DISTRIBUTION,7.297137499999999
2082-100 - SYN FG GEAR LUBE   5GL PAIL GRN,NON-DISTRIBUTION,36
GX DRAW 7050-2       55G DRUM,NON-DISTRIBUTION,427
ALMCO 764      5GLPL,NON-DISTRIBUTION,43
VIBRA-GLEEM      208L/55G,NON-DISTRIBUTION,500
PERKUT 314      330GL PL TOTE,NON-DISTRIBUTION,2400
PERCHEM 7707      5GLPL,NON-DISTRIBUTION,55
RUST PREVENT 910     18.9L/5G PAIL,NON-DISTRIBUTION,47
6043-32 - SEMI-SYN COMP LUBE   16OZ 12X1 CASE FC,NON-DISTRIBUTION,10.699999999999998
HUSKIE ATF DEXRON III   55G DRUM,NON-DISTRIBUTION,432.9251666666667
PERCHEM 7780      5GLPL,NON-DISTRIBUTION,38
2082-460 - SYN FG GEAR LUBE   16OZ 12X1 CASE FC,NON-DISTRIBUTION,11
TECHNICLEAN SC 1492     450# DRUM,NON-DISTRIBUTION,450
2057-100 - MIN-OIL VAC-PUMP FLUID   1QT 12X1 CASE FS,NON-DISTRIBUTION,22
6045-100 - SEMI-SYN 4000HR COMP LUBE   5GL PAIL GRY,NON-DISTRIBUTION,36
2032-75W85 - SYN AUTO GEAR LUBE   5GL PAIL BLK,NON-DISTRIBUTION,37
PERKOOL 710      55GL DRUM,NON-DISTRIBUTION,479
RUST PREVENTIVE 6000      5GLPL,NON-DISTRIBUTION,34
